trend_mode,trade_cost_mode,variant_key,variant_label,start,end,strategy,final_equity,total_return,cagr,vol,max_drawdown,sharpe,sortino,avg_pct_invested
200d,0bps,actuallyfinance_gtt,ActuallyFinance GTT,1960-10-14,2026-07-17,ActuallyFinance GTT,17863706.378776263,1785.3706378776262,0.12061365737358032,0.1304787001330695,-0.2672324251842465,0.6156019384264623,0.874873352888113,0.8684274144808413
200d,0bps,actuallyfinance_gtt,ActuallyFinance GTT,1960-10-14,2026-07-17,200D SMA always on,9579637.467288267,956.9637467288268,0.11004424654241074,0.110631902941146,-0.22378785259287814,0.6186956447062415,0.8704597006159109,0.7531729723195939
200d,0bps,actuallyfinance_gtt,ActuallyFinance GTT,1960-10-14,2026-07-17,Buy and hold,8058533.961141799,804.8533961141799,0.1071291280524842,0.16474398560543577,-0.5518946071872006,0.44445071970643935,0.6256115994099333,1.0
200d,0bps,pe_gtt_1_retail_sales,Philosophical Economics GTT #1: Retail Sales,1960-10-14,2026-07-17,Philosophical Economics GTT #1: Retail Sales,14566195.39729024,1455.619539729024,0.11714127342990954,0.14131395986053388,-0.48717446924745667,0.5568544364851389,0.7904488452646713,0.9111567750513719
200d,0bps,pe_gtt_1_retail_sales,Philosophical Economics GTT #1: Retail Sales,1960-10-14,2026-07-17,200D SMA always on,9579637.467288267,956.9637467288268,0.11004424654241074,0.110631902941146,-0.22378785259287814,0.6186956447062415,0.8704597006159109,0.7531729723195939
200d,0bps,pe_gtt_1_retail_sales,Philosophical Economics GTT #1: Retail Sales,1960-10-14,2026-07-17,Buy and hold,8058533.961141799,804.8533961141799,0.1071291280524842,0.16474398560543577,-0.5518946071872006,0.44445071970643935,0.6256115994099333,1.0
200d,0bps,pe_gtt_2_industrial_production,Philosophical Economics GTT #2: Industrial Production,1960-10-14,2026-07-17,Philosophical Economics GTT #2: Industrial Production,19655526.436092727,1964.5526436092728,0.1222438691368597,0.14588581313064208,-0.3296163204619459,0.5754428124532005,0.8120625479773164,0.9364801160401306
200d,0bps,pe_gtt_2_industrial_production,Philosophical Economics GTT #2: Industrial Production,1960-10-14,2026-07-17,200D SMA always on,9579637.467288267,956.9637467288268,0.11004424654241074,0.110631902941146,-0.22378785259287814,0.6186956447062415,0.8704597006159109,0.7531729723195939
200d,0bps,pe_gtt_2_industrial_production,Philosophical Economics GTT #2: Industrial Production,1960-10-14,2026-07-17,Buy and hold,8058533.961141799,804.8533961141799,0.1071291280524842,0.16474398560543577,-0.5518946071872006,0.44445071970643935,0.6256115994099333,1.0
200d,0bps,pe_gtt_3_retail_or_industrial,Philosophical Economics GTT #3: Retail Sales or Industrial Production,1960-10-14,2026-07-17,Philosophical Economics GTT #3: Retail Sales or Industrial Production,21429420.159022525,2141.9420159022525,0.12371953842083405,0.13512592049409491,-0.35339998153070107,0.6194642412276623,0.8868886258393676,0.8868608727184818
